GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, RotateRight90, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, RotateRight45, GetBattleInfo
GetBattleInfo, MoveForward, GetBattleInfo
GetBattleInfo, RotateRight45, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, Shoot, GetBattleInfo (killed)
GetBattleInfo, RotateRight90, killed

GetBattleInfo, MoveForward, killed

GetBattleInfo, GetBattleInfo, killed

GetBattleInfo, RotateRight90, killed

GetBattleInfo, RotateRight45, killed

GetBattleInfo, MoveForward, killed

GetBattleInfo, GetBattleInfo, killed

GetBattleInfo, RotateLeft45, killed

GetBattleInfo, Shoot (ignored), killed

GetBattleInfo, RotateLeft45, killed

GetBattleInfo, GetBattleInfo, killed

GetBattleInfo, RotateRight45, killed

GetBattleInfo, MoveForward, killed

GetBattleInfo, Shoot (ignored), killed

GetBattleInfo, GetBattleInfo, killed

GetBattleInfo (killed), MoveForward (killed), killed

Tie, both players have zero tanks
